,web site,title,handle,body_html,published_at,updated_at,created_at,product_type,price,sku,available,image
0,https://completedworks.com/,P25 Gold Vermeil with Pearl and Zirconia Pendant,p25-gold-vermeil-with-pearl-and-zirconia-pendant,"An organically shaped circle of freshwater pearls presented on a 14ct yellow
gold vermeil chain.

",2021-07-13T19:41:59+01:00,2021-07-13T19:41:59+01:00,2021-06-30T17:17:26+01:00,Necklace,155.00,P25,True,https://cdn.shopify.com/s/files/1/0287/2180/7465/products/P25_pendant_01-2.jpg?v=1626200734
1,https://completedworks.com/,P23 Gold Vermeil with Pearl and Zirconia Earrings,p23-gold-vermeil-with-pearl-and-zirconia-earrings,"

Two small gold vermeil hoops are set with white topaz gemstones. Secured with
an earring post and clip fastening.

**In Stock: Order before 12pm GMT for same weekday despatch**

Details

The piece is thoughtfully handcrafted in recycled silver and plated in 14ct
yellow gold vermeil.

Good to know

* Made in recycled silver

* Ethically sourced materials

* One year guarantee

Shipping

Delivery is free within UK, EU and USA. Delivery to all other destinations is
subject to a single fee of £20 per order.

For more information on shipping click here

",2021-07-13T17:10:52+01:00,2021-07-13T17:15:28+01:00,2021-06-30T17:02:13+01:00,Earrings,255.00,P23,True,https://cdn.shopify.com/s/files/1/0287/2180/7465/products/P23_earrings_01-2.jpg?v=1626191887
2,https://completedworks.com/,Befuddled - Gold Vermeil Bracelet,c08b,"

",2021-07-13T16:38:13+01:00,2021-07-13T16:44:41+01:00,2021-04-01T14:40:53+01:00,Bracelet,425.00,C08B,True,https://cdn.shopify.com/s/files/1/0287/2180/7465/products/C08B_bracelet_Befuddled01-3.jpg?v=1626191081
3,https://completedworks.com/,L02 - Set of 2 Napkin Rings - Brushed Brass,l02-set-of-2-napkin-rings,"

",2021-07-13T14:00:13+01:00,2021-07-13T14:00:13+01:00,2021-04-22T15:32:18+01:00,,210.00,L02,True,https://cdn.shopify.com/s/files/1/0287/2180/7465/products/L02_napkinrings01-2.jpg?v=1626181206
4,https://completedworks.com/,C28 Gold Vermeil and Pearl Pendant,c28-gold-vermeil-and-pearl-pendant,"An organically shaped circle of freshwater pearls presented on a 14ct yellow
gold vermeil chain.

",2021-07-13T11:39:31+01:00,2021-07-13T16:48:23+01:00,2021-06-30T16:57:12+01:00,Necklace,350.00,C28,True,https://cdn.shopify.com/s/files/1/0287/2180/7465/products/C28_pendant_01-2.jpg?v=1626171559
5,https://completedworks.com/,C26 Gold Vermeil with Pearls and Topaz Earrings,c26-gold-vermeil-with-pearls-and-topaz-earrings,"

Two small gold vermeil hoops are set with white topaz gemstones. Secured with
an earring post and clip fastening.

**In Stock: Order before 12pm GMT for same weekday despatch**

Details

The piece is thoughtfully handcrafted in recycled silver and plated in 14ct
yellow gold vermeil.

Good to know

* Made in recycled silver

* Ethically sourced materials

* One year guarantee

Shipping

Delivery is free within UK, EU and USA. Delivery to all other destinations is
subject to a single fee of £20 per order.

For more information on shipping click here

",2021-07-13T10:56:55+01:00,2021-07-13T16:47:58+01:00,2021-06-30T16:48:30+01:00,Earrings,495.00,C26,True,https://cdn.shopify.com/s/files/1/0287/2180/7465/products/C26_earrings_01-3.jpg?v=1626173868
6,https://completedworks.com/,F52 Gold Vermeil with Pearl and Zirconia Earrings,f52-gold-vermeil-with-pearl-and-zirconia-earrings,"

Two small gold vermeil hoops are set with white topaz gemstones. Secured with
an earring post and clip fastening.

**In Stock: Order before 12pm GMT for same weekday despatch**

Details

The piece is thoughtfully handcrafted in recycled silver and plated in 14ct
yellow gold vermeil.

Good to know

* Made in recycled silver

* Ethically sourced materials

* One year guarantee

Shipping

Delivery is free within UK, EU and USA. Delivery to all other destinations is
subject to a single fee of £20 per order.

For more information on shipping click here

",2021-07-12T16:32:50+01:00,2021-07-13T16:47:33+01:00,2021-06-30T17:40:29+01:00,Earrings,235.00,F52,True,https://cdn.shopify.com/s/files/1/0287/2180/7465/products/F52_earrings_01-3.jpg?v=1626169471
7,https://completedworks.com/,F50 Gold Vermeil Earrings,f50-gold-vermeil-earrings,"

Two small gold vermeil hoops are set with white topaz gemstones. Secured with
an earring post and clip fastening.

**In Stock: Order before 12pm GMT for same weekday despatch**

Details

The piece is thoughtfully handcrafted in recycled silver and plated in 14ct
yellow gold vermeil.

Good to know

* Made in recycled silver

* Ethically sourced materials

* One year guarantee

Shipping

Delivery is free within UK, EU and USA. Delivery to all other destinations is
subject to a single fee of £20 per order.

For more information on shipping click here

",2021-07-12T13:08:51+01:00,2021-07-13T10:44:15+01:00,2021-06-30T17:25:42+01:00,Earrings,255.00,F50,True,https://cdn.shopify.com/s/files/1/0287/2180/7465/products/F50_earrings_01-2_ee90054b-b6ce-4cc3-a227-501c726bac1e.jpg?v=1626169455
8,https://completedworks.com/,F48 Gold Vermeil and Zirconia Earrings,f48-gold-vermeil-and-zirconia-earrings,"

Two small gold vermeil hoops are set with white topaz gemstones. Secured with
an earring post and clip fastening.

**In Stock: Order before 12pm GMT for same weekday despatch**

Details

The piece is thoughtfully handcrafted in recycled silver and plated in 14ct
yellow gold vermeil.

Good to know

* Made in recycled silver

* Ethically sourced materials

* One year guarantee

Shipping

Delivery is free within UK, EU and USA. Delivery to all other destinations is
subject to a single fee of £20 per order.

For more information on shipping click here

",2021-07-12T12:35:51+01:00,2021-07-13T16:47:01+01:00,2021-06-30T16:36:22+01:00,Earrings,345.00,F48,True,https://cdn.shopify.com/s/files/1/0287/2180/7465/products/F48_earrings_01-2_25842fc4-256a-4ddd-b276-c166e54e294d.jpg?v=1626169436
9,https://completedworks.com/,F31 Gold Vermeil Earrings,f31-gold-earrings,"

Two small gold vermeil hoops are set with white topaz gemstones. Secured with
an earring post and clip fastening.

**In Stock: Order before 12pm GMT for same weekday despatch**

Details

The piece is thoughtfully handcrafted in recycled silver and plated in 14ct
yellow gold vermeil.

Good to know

* Made in recycled silver

* Ethically sourced materials

* One year guarantee

Shipping

Delivery is free within UK, EU and USA. Delivery to all other destinations is
subject to a single fee of £20 per order.

For more information on shipping click here

",2021-07-12T11:54:25+01:00,2021-07-12T11:59:49+01:00,2021-06-30T16:25:45+01:00,Earrings,195.00,F31,True,https://cdn.shopify.com/s/files/1/0287/2180/7465/products/F31_earrings_01-3.jpg?v=1626087153
