Category,Name,Variant Name,Price,URL
b'Earrings',b'Twisted - Gold Vermeil Earrings',b'',b'195.00',b'https://completedworks.com//products/c39-gold-vermeil-earrings'
b'Earrings',b'C31 Gold Vermeil Earrings',b'',b'210.00',b'https://completedworks.com//products/c31-gold-vermeil-earrings'
b'Earrings',b'Small Statue of a Couple - Gold Vermeil Ear Cuff',b'',b'120.00',b'https://completedworks.com//products/small-statue-of-a-couple-gold-vermeil-ear-cuff'
b'Bracelet',b'The Valley of the Moons - Gold Vermeil and Pearl Cuff',b'',b'345.00',b'https://completedworks.com//products/the-valley-of-the-moons-gold-vermeil-and-pearl-cuff'
b'Earrings',b'P27 Gold Vermeil and Pearl Ear Cuff',b'',b'135.00',b'https://completedworks.com//products/p27-gold-vermeil-and-pearl-ear-cuff'
b'Necklace',b'The Weight of Magical Thinking - Gold Vermeil with Pearl and Zirconia Pendant',b'',b'155.00',b'https://completedworks.com//products/p25-gold-vermeil-with-pearl-and-zirconia-pendant'
b'Earrings',b'Past in a Future Tense - Gold Vermeil with Pearl and Zirconia Earrings',b'',b'255.00',b'https://completedworks.com//products/past-in-a-future-tense-gold-vermeil-with-pearl-and-zirconia-earrings'
b'Bracelet',b'Befuddled - Gold Vermeil Bracelet',b'',b'425.00',b'https://completedworks.com//products/c08b'
b'',b'L02 - Set of 2 Napkin Rings - Brushed Brass',b'',b'210.00',b'https://completedworks.com//products/l02-set-of-2-napkin-rings'
b'Necklace',"b'Drift II - Gold Vermeil, Pearl and White Topaz Pendant'",b'',b'350.00',b'https://completedworks.com//products/c28-gold-vermeil-and-pearl-pendant'
b'Earrings',b'C26 Gold Vermeil with Pearls and Topaz Earrings',b'',b'495.00',b'https://completedworks.com//products/c26-gold-vermeil-with-pearls-and-topaz-earrings'
b'Earrings',b'F52 Gold Vermeil with Pearl and Zirconia Earrings',b'',b'235.00',b'https://completedworks.com//products/f52-gold-vermeil-with-pearl-and-zirconia-earrings'
b'Earrings',b'F50 Gold Vermeil Earrings',b'',b'255.00',b'https://completedworks.com//products/f50-gold-vermeil-earrings'
b'Earrings',b'F48 Gold Vermeil and Zirconia Earrings',b'',b'345.00',b'https://completedworks.com//products/f48-gold-vermeil-and-zirconia-earrings'
b'Earrings',b'F31 Gold Vermeil Earrings',b'',b'195.00',b'https://completedworks.com//products/f31-gold-earrings'
b'Necklace',b'Flux - Platinum Plated Sterling Silver Necklace',b'',b'155.00',b'https://completedworks.com//products/flux-platinum-plated-sterling-silver-necklace'
b'Necklace',b'Virgo Zodiac Balloon Gold Vermeil Pendant',b'',b'135.00',b'https://completedworks.com//products/virgo-gold-vermeil-zodiac-balloon-pendant'
b'Necklace',b'Scorpio Zodiac Balloon Gold Vermeil Pendant',b'',b'135.00',b'https://completedworks.com//products/scorpio-gold-vermeil-zodiac-balloon-pendant'
b'Necklace',b'Taurus Zodiac Balloon Gold Vermeil Pendant',b'',b'135.00',b'https://completedworks.com//products/taurus-gold-vermeil-zodiac-balloon-pendant'
b'Necklace',b'Sagittarius Zodiac Balloon Gold Vermeil Pendant',b'',b'135.00',b'https://completedworks.com//products/sagittarius-gold-vermeil-zodiac-balloon-pendant'
b'Necklace',b'Pisces Zodiac Balloon Gold Vermeil Pendant',b'',b'135.00',b'https://completedworks.com//products/pisces-gold-vermeil-zodiac-balloon-pendant'
b'Necklace',b'Libra Zodiac Balloon Gold Vermeil Pendant',b'',b'135.00',b'https://completedworks.com//products/libra-gold-vermeil-zodiac-balloon-pendant'
b'Necklace',b'Leo Zodiac Balloon Gold Vermeil Pendant',b'',b'135.00',b'https://completedworks.com//products/leo-gold-vermeil-zodiac-balloon-pendant'
b'Necklace',b'Gemini Zodiac Balloon Gold Vermeil Pendant',b'',b'135.00',b'https://completedworks.com//products/gemini-gold-vermeil-zodiac-balloon-pendant'
b'Necklace',b'Capricorn Zodiac Balloon Gold Vermeil Pendant',b'',b'135.00',b'https://completedworks.com//products/capricorn-gold-vermeil-zodiac-balloon-pendant'
b'Necklace',b'Cancer Zodiac Balloon Gold Vermeil Pendant',b'',b'135.00',b'https://completedworks.com//products/cancer-gold-vermeil-zodiac-balloon-pendant'
b'Necklace',b'Aries Zodiac Balloon Gold Vermeil Pendant',b'',b'135.00',b'https://completedworks.com//products/aries-gold-vermeil-zodiac-balloon-pendant'
b'Necklace',b'Aquarius Zodiac Balloon Gold Vermeil Pendant',b'',b'135.00',b'https://completedworks.com//products/aquarius-gold-vermeil-zodiac-balloon-pendant'
b'Necklace',b'H11 - Platinum Plated Sterling Silver And Pearls Pendant',b'',b'195.00',b'https://completedworks.com//products/h11-platinum-plated-sterling-silver-and-pearls-pendant'
b'',b'B43 - Cushion - Matte Pink',b'',b'70.00',b'https://completedworks.com//products/b43-cushion-matte-pink'
b'',b'L04 - Candlestick Holder - Brushed Brass',b'',b'210.00',b'https://completedworks.com//products/l04-candlestick-holder-brushed-brass'
b'',b'B34 - Set of 2 Candlesticks - Matte White',b'',b'175.00',b'https://completedworks.com//products/b34-set-of-2-candlesticks-matte-white'
b'',b'B26 - Large Vase',b'',b'345.00',b'https://completedworks.com//products/b26-large-vase-matte-white'
b'',b'L09 - Small Vessel - Brushed Brass',b'',b'455.00',b'https://completedworks.com//products/l09-small-vessel-brushed-brass'
b'',b'B42 - Cushion - Matte White',b'',b'125.00',b'https://completedworks.com//products/b42-cushion-matte-white'
